Feature,ANOVA_Score,RF_Importance,Combined_Score
patient_nbr,238.46507010791362,0.0920355292308435,0.9472427268779853
number_inpatient,2387.04851927193,0.03972608630694688,0.9183673469387755
number_diagnoses,540.7013225113283,0.0300615747756333,0.8669127225358229
time_in_hospital,135.5283425868099,0.045207222937935033,0.8541033434650456
encounter_id,66.63174023912649,0.09219010365572386,0.851063829787234
discharge_disposition_id,164.36766615767633,0.034182035313740776,0.8447676943117672
num_medications,107.33528366542315,0.06200220614102916,0.8430308293530178
num_lab_procedures,63.40584124549034,0.06882784452585987,0.8200173686495875
medical_specialty,114.38979785153242,0.030693222090374343,0.8026487190620929
number_outpatient,292.0368777931726,0.01447722260282688,0.7640034737299175
number_emergency,465.57709617167643,0.012553330253894159,0.7542336083369519
num_procedures,86.934961393524,0.029350778268907272,0.7503256621797656
age,43.774787952422386,0.037946165286075584,0.7379504993486756
admission_source_id,71.94388348004053,0.015932026331521756,0.6886669561441598
diabetesMed,156.0141585046478,0.00781811354909997,0.6606600086843248
diag_3,3.9100523688723943,0.06493459584989672,0.6511072514112027
diag_1,2.395567170401047,0.0673490487123159,0.6396005210594876
change,88.19781636366992,0.010302780263675202,0.6385149804602692
race,17.51587673055613,0.016955973188314398,0.6244029526704298
A1Cresult,24.50741439050481,0.01340584040819762,0.594224924012158
metformin,31.54603033060998,0.011585283357747772,0.5844550586191923
gender,16.842135431725495,0.014507447165536133,0.5827181936604429
payer_code,6.271079665107846,0.027654295194920294,0.5805471124620061
weight,71.50674685224133,0.004498970575786947,0.5453755970473296
glipizide,17.306111365222186,0.010431875979124008,0.5423360833695181
admission_type_id,3.5064738969628904,0.019125302468710817,0.5175857577073383
diag_2,0.1702575153913173,0.06614608739031035,0.4804602692140686
pioglitazone,12.926459737867138,0.006689524757841242,0.46960486322188444
rosiglitazone,7.101845166542159,0.006112031649517156,0.4381241858445506
repaglinide,13.313289940471584,0.0023065063834458825,0.4292227529309596
max_glu_serum,4.226597004710486,0.00408557882489249,0.38623534520191055
glimepiride,3.602788339151138,0.005603939131516969,0.3853669127225358
acarbose,9.624967014490792,0.0005123341294764738,0.3773339122883196
insulin,0.03845391438652667,0.02252837286730673,0.3575770733825445
glyburide,0.9782976900678039,0.009386890128312288,0.35171515414676513
chlorpropamide,1.5618825719066012,0.000205789075312826,0.26074685193226227
miglitol,1.632422562782187,7.38062232518539e-05,0.25097698653929656
glipizide-metformin,1.778421541205221,1.9694383061240705e-05,0.24120712114633086
tolbutamide,1.0989868398824514,3.794979906186446e-05,0.21949630916196267
glyburide-metformin,0.8396733796089506,0.001164217036088759,0.21732522796352582
nateglinide,0.7403849088920544,0.0012686535882095718,0.21689101172383846
acetohexamide,0.9318965694682314,7.533765577059267e-06,0.16717325227963525
glimepiride-pioglitazone,0.9318965694690158,9.246463146885217e-07,0.1471993052540165
tolazamide,0.28206756770494085,8.867046259277213e-05,0.14415979157620495
metformin-rosiglitazone,0.8539881152282968,2.3279868240175108e-06,0.13612679114198872
troglitazone,0.7182069583661984,4.270211900594089e-06,0.1144159791576205
metformin-pioglitazone,0.4269843335366544,2.3124547048986544e-08,0.07316543638732088
examide,,0.0,
citoglipton,,0.0,
